CH1,CH2,CH3,CH4,CH5,Command
45.347,9.612,8.607,12.518,8.586,1
50.475,5.228,4.965,10.198,17.04,1
20.821,3.664,3.067,6.332,15.808,1
4.944,2.409,2.608,3.804,6.187,1
5.868,4.934,5.419,6.767,6.069,1
4.915,7.043,6.918,7.56,4.763,1
2.137,4.411,4.15,4.166,2.21,3
1.138,1.49,4.928,2.072,1.864,3
2.469,0.998,3.502,1.747,2.961,3
7.601,1.928,2.557,2.853,3.678,1
11.235,3.466,3.376,3.729,5.5,1
7.816,3.808,3.346,2.496,3.987,2
3.7,5.211,5.871,3.192,3.569,1
4.919,6.305,7.153,3.351,4.289,2
5.637,3.213,3.241,3.013,3.834,2
6.204,2.958,1.11,2.489,3.719,2
4.506,4.617,1.141,3.564,4.469,2
6.741,8.201,4.423,8.245,7.484,2
208.766,215.474,218.893,229.486,183.402,1
643.713,665.562,675.576,695.797,571.621,1
297.16,316.974,304.702,316.369,261.962,1
20.689,19.994,15.713,16.467,14.366,1
6.276,3.67,5.226,2.583,3.6,3
5.72,2.778,6.342,3.562,5.49,3
176.617,171.629,171.822,190.174,162.95,1
361.317,349.016,353.853,386.942,325.02,1
175.484,168.713,170.898,184.103,152.68,1
11.686,12.62,11.626,11.67,9.932,1
2.388,2.392,2.799,2.501,3.817,1
2.523,2.915,2.683,4.02,4.018,1
2.389,2.181,1.779,3.208,3.748,3
2.41,1.746,2.381,2.836,3.233,3
3.928,2.384,4.704,6.518,4.485,3
3.161,1.922,3.24,4.385,4.522,1
2.875,1.179,1.698,2.419,4.567,1
3.906,0.658,1.653,2.012,4.784,1
6.951,1.142,2.527,1.507,5.929,3
6.802,1.939,2.788,1.342,4.253,3
4.55,0.965,2.13,1.207,2.855,3
5.147,0.588,2.615,1.367,3.766,3
5.487,4.471,4.225,3.95,5.007,3
5.042,7.306,5,7.358,5.167,3
3.359,3.956,2.573,6.016,2.73,3
2.608,2.196,1.641,2.515,0.983,3
4.471,4.586,3.822,3.189,4.567,3
11.329,6.027,7.271,7.913,10.866,3
26.675,11.914,16.864,20.593,20.458,3
37.072,22.339,20.985,31.206,27.958,3
224.099,243.952,279.519,266.445,206.477,3
1296.061,1433.441,1552.114,1511.876,1172.865,1
1941.355,2126.406,2234.254,2204.591,1725.477,1
919.367,990.344,1025.783,1022.246,816.886,1
34.411,32.027,37.281,35.351,30.324,3
4.643,2.622,3.811,2.581,1.522,3
3.296,2.131,1.799,1.505,1.265,3
3.585,1.244,1.509,1.588,2.887,3
4.182,1.902,4.001,2.473,4.219,3
2.826,2.654,4.568,2.859,2.1,3
3.54,2.405,3.34,2.709,2.952,3
6.589,3.973,5.212,4.159,5.044,3
6.924,3.743,4.064,4.281,4.939,3
8.879,3.617,2.286,2.562,4.576,1
14.431,5.005,4.241,4.114,5.895,1
116.659,6.073,6.175,7.753,7.541,2
296.761,7.5,6.316,10.305,9.702,2
195.532,7.069,3.941,8.393,17.72,1
36.817,4.091,2.552,3.809,14.793,1
4.871,4.587,5.678,3.846,7.293,1
7.309,5.474,7.354,5.641,7.523,1
7.39,2.695,3.65,3.911,8.45,1
11.333,3.373,3.519,4.733,11.428,1
69.57,7.211,7.628,8.059,10.542,1
125.895,7.93,9.351,7.234,6.223,1
31.847,4.204,6.482,4.747,4.53,1
8.788,6.731,10.498,7.604,9.343,1
14.514,8.937,12.852,10.424,12.199,1
30.927,6.102,13.749,13.51,11.057,1
30.925,2.69,9.327,8.185,4.107,2
7.151,1.381,2.115,2.578,1.196,1
4.588,2.044,2.018,2.905,2.826,1
77.7,3.297,4.68,4.473,14.301,1
375.496,3.326,6.56,5.896,38.518,1
300.313,1.574,5.5,3.908,18.966,1
46.315,2.672,4.12,3.501,3.329,1
35.795,4.96,4.59,4.043,5.675,1
24.408,5.28,3.098,3.543,4.419,1
7.535,6.143,5.239,7.64,7.172,1
14.273,7.267,9.498,14.125,11.885,1
10.952,3.844,7.456,10.078,9.441,1
3.197,0.917,2.585,3.429,4.369,3
4.244,2.52,3.803,3.955,5.015,3
7.895,4.127,6.625,6.747,5.716,3
6.975,3.827,8.349,7.041,4.084,3
11.732,2.828,10.097,9.006,6.515,3
78.46,2.521,5.876,8.455,32.073,3
177.792,3.873,4.881,7.86,90.463,3
161.691,5.265,6.645,8.618,89.139,3
47.448,5.091,6.067,9.307,23.815,3
71.631,4.615,6.305,8.555,19.219,3
56.527,5.343,4.812,6.214,19.07,3
19.293,5.771,5.511,3.416,12.02,3
12.596,6.363,5.268,2.418,8.315,1
9.243,3.367,2.093,2.159,3.876,1
5.038,1.53,5.193,1.314,3.514,3
10.011,1.258,5.649,1.092,9.166,1
13.146,1.413,3.6,2.022,11.901,1
4.347,1.855,3.228,3.617,4.973,3
2.893,3.494,4.737,10.904,6.147,3
5.228,4.773,5.084,15.608,10.956,3
7.643,4.284,6.286,17.033,11.219,3
12.893,5.444,13.569,13.792,15.552,1
31.416,5.656,12.565,7.067,11.444,1
70.173,4.223,6.272,4.571,6.081,2
56.759,5.588,7.026,9.021,6.073,2
160.918,5.104,4.643,8.985,5.371,2
283.743,2.385,3.252,5.064,2.544,2
272.118,5.408,10.253,10.038,2.086,2
190.488,7.891,13.686,10.865,3.835,2
44.041,4.454,5.41,5.363,5.353,1
4.331,3.47,2.716,4.022,3.492,1
2.766,3.947,4.421,3.723,2.619,1
4.564,4.038,8.632,4.015,3.574,1
5.68,3.693,7.104,2.932,4.255,1
3.496,3.39,2.941,2.31,3.572,1
2.741,2.39,2.389,1.748,2.589,1
3.311,1.172,3.644,1.575,2.289,1
30.607,2.272,5.49,4.179,4.58,1
115.942,3.949,7.706,6.9,8.156,2
206.617,2.67,4.866,5.681,9.043,2
195.566,2.93,4.81,6.2,7.875,2
137.935,3.351,7.533,4.731,5.053,2
138.047,2.121,5.279,3.162,5.07,2
131.79,2.5,3.321,2.748,5.126,2
131.941,3.135,3.217,4,5.126,1
29.081,2.443,4.893,4.977,4.454,1
63.146,3.899,7.779,5.339,7.806,1
160.103,3.218,6.451,3.786,12.044,1
113.846,1.689,2.811,3.998,12.611,1
74.981,0.939,1.176,3.006,8.441,1
122.638,1.772,1.684,2.587,12.659,1
214.954,2.983,2.872,5.366,16.496,2
115.992,3.219,3.815,7.303,7.802,1
13.781,2.449,4.21,4.559,4.051,1
41.15,2.333,3.281,2.159,13.639,1
128.551,3.932,4.329,3.643,12.397,1
536.554,6.211,5.668,5.579,6.348,1
533.25,5.894,4.295,5.145,3.92,1
35.408,3.909,2.511,4.902,4.56,1
6.498,3.857,2.155,4.523,3.785,1
3.989,2.209,1.758,2.258,2.733,1
2.385,1.02,1.547,1.545,2.191,1
2.703,1.693,1.925,2.66,4.318,1
4.002,1.809,1.674,2.603,6.133,1
3.209,1.264,0.867,1.807,3.773,1
3.439,1.674,1.171,2.06,2.38,1
16.926,1.567,1.601,1.534,2.886,1
17.372,1.611,2.383,1.511,2.831,1
7.034,1.851,1.939,2.224,3.62,3
6.143,2.212,1.338,2.644,5.159,3
8.29,1.772,1.753,2.063,7.442,3
8.835,3.179,5.969,4.027,7.999,3
10.534,6.6,12.358,8.683,11.415,3
8.07,4.472,8.059,6.114,7.412,3
2.396,1.042,2.243,0.891,1.621,3
6.534,1.241,1.998,0.997,1.742,3
13.029,1.795,1.583,1.882,2.51,3
10.609,1.451,1.534,1.996,4.006,3
13.022,2.7,3.599,2.835,8.974,3
12.357,3.787,6.519,3.117,7.361,3
54.306,7.609,10.703,8.186,10.222,3
115.378,23.275,27.986,30.711,32.298,3
43.618,17.842,21.119,24.289,25.717,3
25.595,3.797,7.014,5.274,9.271,3
78.471,2.129,4.339,2.222,7.369,1
86.589,2.535,3.966,1.628,10.557,3
29.39,1.688,9.387,3.637,12.689,3
11.407,1.859,12.375,7.299,9.374,3
12.658,2.759,10.278,8.134,9.735,3
17.818,3.447,5.574,5.78,13.741,3
8.932,2.802,3.916,3.858,6.868,3
11.727,2.403,4.958,3.453,8.706,1
36.119,3.612,7.317,5.635,18.87,1
137.566,7.125,12.629,7.306,49.689,1
249.181,5.027,9.844,4.232,91.729,1
234.601,2.6,5.111,3.484,86.363,1
87.265,2.101,3.365,4.591,29.765,1
82.18,2.808,5.044,7.213,5.222,1
53.584,7.071,11.054,10.29,4.917,2
11.686,12.058,15.749,10.614,8.689,2
12.444,11.516,17.913,11.781,13.086,1
7.269,4.924,9.207,8.48,7.155,1
6.925,4.454,6.102,8.273,7.329,1
9.48,4.726,9.396,9.744,11.871,1
12.244,6.418,13.135,11.092,15.269,1
11.978,6.031,8.18,7.468,14.708,1
9.089,3.295,2.716,5.645,13.441,1
5.357,2.268,2.114,5.56,7.936,1
6.763,1.214,2.863,4.984,10.369,1
8.644,1.585,4.943,3.462,14.245,1
4.911,2.295,4.646,2.962,9.908,1
7.428,3.42,7.217,5.022,14.138,1
9.815,3.07,7.29,5.78,14.195,1
4.421,1.655,2.167,3.595,6.18,1
2.736,1.457,1.22,3.613,6.53,1
2.939,1.531,1.281,3.194,8.458,1
2.691,2.134,1.936,2.3,6.307,1
7.579,4.045,3.433,4.986,11.264,1
8.326,4.699,3.626,5.618,9.955,3
7.485,3.094,3.305,5.499,5.577,3
9.375,1.801,2.186,4.71,7.42,3
41.227,3.526,2.871,4.681,21.085,3
148.843,5.101,6.198,6.317,64.841,3
219.711,3.483,7.63,5.877,81.762,3
134.566,1.711,7.061,3.851,37.258,1
18.658,3.463,6.502,4.606,8.418,3
11.274,3.017,5.406,4.789,8.706,3
13.444,6.347,5.759,7.309,7.772,1
52.993,11.032,8.169,11.546,16.915,1
91.659,5.149,3.908,6.338,24.505,1
34.111,3.001,2.368,4.724,12.482,1
5.007,2.037,1.975,4.9,4.513,3
4.045,1.397,3.016,4.459,4.544,3
18.544,1.889,4.964,3.853,9.538,1
62.349,1.883,4.908,3.338,22.357,1
52.282,1.595,3.764,2.604,17.027,1
11.349,3.11,6.295,5.306,5.33,3
12.062,7.091,12.958,17.755,20.925,1
21.339,4.452,10.234,14.226,24.273,1
113.241,1.589,6.088,5.838,11.34,2
144.547,2.274,4.169,4.824,5.257,2
21.034,7.233,13.569,8.467,14.702,2
8.554,7.328,15.562,8.993,22.314,2
9.965,5.225,9.007,6.679,15.41,1
11.748,6.56,7.22,6.414,9.764,1
13.479,7.012,9.644,11.853,11.462,1
7.887,3.749,8.36,8.756,6.983,1
2.792,1.802,4.706,3.549,2.672,1
4.599,1.518,3.07,2.776,1.909,2
6.1,2.045,4.262,4.239,2.762,2
6.667,3.606,4.729,5.356,3.587,1
4.889,3.332,4.691,3.16,3.654,1
3.734,2.772,4.998,3.314,4.102,1
5.126,3.066,4.414,4.226,4.275,1
3.885,3.163,3.991,4.188,3.404,1
2.742,3.051,3.499,3.731,2.41,1
3.515,3.101,3.827,3.554,1.542,1
3.977,2.91,5.194,3.687,2.183,2
2.828,1.791,2.762,1.571,5.1,1
4.881,1.233,1.51,1.255,11.192,1
14.041,1.64,1.426,2.773,14.141,1
58.765,2.658,1.965,10.698,46.796,1
59.464,2.722,1.831,11.894,58.947,1
21.995,1.882,4.009,3.247,18.692,1
10.483,2.41,6.249,4.176,7.704,3
3.415,2.485,3.111,5.66,3.64,3
58.858,2.337,3.314,5.772,15.771,3
150.941,15.028,19.652,26.024,48.514,3
836.168,48.824,33.795,45.829,76.22,3
7779.551,67.062,35.838,45.24,85.409,1
11333.788,17.063,20.425,15.493,51.775,2
3010.298,30.817,34.191,41.82,85.553,2
12.114,4.005,8.207,1.625,4.386,1
6.717,2.087,5.002,2.645,2.001,1
13.771,1.264,3.357,1.693,3.875,1
11.265,2.154,2.022,1.795,4.969,3
2.89,1.52,2.218,2.415,3.023,3
1.711,2.148,6.346,1.333,2.699,3
2.996,1.995,11.646,1.948,2.222,3
79.203,1.067,10.832,4.252,17.565,3
110.287,3.092,7.09,4.451,25.429,3
39.803,4.371,4.437,5.089,11.346,3
56.805,2.173,6.028,3.843,16.287,1
85.546,4.131,6.275,3.588,25.162,1
41.656,10.748,6.285,6.015,17.265,2
12.644,11.867,6.85,8.696,11.317,1
59.762,7.684,5.905,9.874,29.588,1
192.382,9.075,11.911,14.908,85.495,2
102.883,14.284,22.068,17.666,51.018,2
80.224,45.612,63.355,51.736,74.018,1
72.454,41.614,57.298,50.205,99.684,3
5.22,3.292,4.697,7.093,45.135,3
2.055,3.348,1.459,3.986,12.372,3
3.868,4.873,2.878,4.199,2.815,3
4.802,4.401,3.317,3.811,2.942,3
4.235,3.497,4.546,6.794,3.562,3
4.181,3.432,5.521,7.45,3.994,3
2.445,2.025,3.081,3.419,3.686,3
1.436,1.344,1.16,1.573,3.089,3
2.512,2.042,1.461,1.708,3.437,3
2.943,1.883,2.099,2.244,3.461,3
1.491,1.035,1.589,2.306,3.489,3
1.247,1.644,1.289,2.531,3.94,3
0.982,3.273,2.12,2.752,1.089,3
1.738,3.145,3.856,2.361,1.383,3
4.524,3.355,4.338,1.945,2.638,3
23.841,2.815,3.569,1.437,6.207,3
63.509,2.175,4.743,1.017,12.542,3
25.39,2.313,4.284,1.778,6.448,1
3.832,3.475,1.654,2.92,5.031,2
3.667,4.707,1.241,3.34,4.811,2
13.333,5.97,6.509,4.251,7.157,2
16.133,5.469,18.575,4.719,9.219,2
11.704,7.205,19.686,4.362,8.914,2
7.847,8.435,9.841,5.022,6.347,2
5.98,5.949,7.188,7.382,5.24,2
6.505,2.055,4.732,6.544,5.837,2
5.356,1.046,3.782,3.892,6.483,2
3.712,1.806,3.895,5.267,5.145,2
12.271,4.806,4.371,9.62,6.6,2
46.958,4.071,5.316,7.221,27.432,2
65.554,3.633,20.325,5.543,46.603,2
35.525,4.987,40.17,12.726,27.643,2
249.096,10.756,23.319,14.203,56.656,2
530.579,11.243,15.183,12.021,123.165,2
590.367,8.93,13.076,19.707,173.175,2
474.804,6.943,12.456,20.807,154.956,2
170.846,3.612,6.12,14.721,55.093,1
285.19,9.984,10.404,25.067,86.801,2
412.778,11.869,11.892,15.654,122.409,2
223.512,5.821,4.994,5.244,76.374,1
173.139,6.249,4.018,5.542,61.139,1
178.198,5.331,7.459,7.549,61.374,1
57.021,3.377,7.415,12.55,25.268,1
5.002,2.838,3.371,8.648,6.017,1
