Theta_AF3,Theta_T7,Theta_PZ,Theta_T8,Theta_AF4,Alpha_AF3,Alpha_T7,Alpha_PZ,Alpha_T8,Alpha_AF4,BetaL_AF3,BetaL_T7,BetaL_PZ,BetaL_T8,BetaL_AF4,BetaH_AF3,BetaH_T7,BetaH_PZ,BetaH_T8,BetaH_AF4,Gamma_AF3,Gamma_T7,Gamma_PZ,Gamma_T8,Gamma_AF4,Command
4.857,0.936,0.891,8.121,8.195,3.494,3.048,1.694,3.094,7.446,3.947,0.742,1.097,4.454,5.701,5.796,1.521,2.265,5.435,3.75,2.924,1.637,2.173,6.576,4.585,0
3.769,0.616,0.979,6.628,7.975,3.568,2.404,1.08,2.372,6.7,2.615,0.647,1.232,4.09,3.822,4.518,1.368,1.945,5.977,3.069,2.799,1.413,2.152,6.167,4.193,0
3.249,0.658,1.126,5.823,7.261,3.603,2.152,0.94,2.375,6.086,1.801,0.579,1.211,3.582,2.894,3.654,1.171,1.713,5.74,2.702,2.705,1.356,2.148,6.095,3.93,0
3.319,1.209,1.267,5.252,6.186,3.805,1.802,0.797,2.393,4.635,0.785,0.499,1.062,1.954,1.694,2.227,0.757,1.308,4.477,2.26,2.691,1.491,2.329,6.78,3.92,0
5.073,2.705,1.253,5.866,6.884,3.77,1.692,0.685,2.068,3.373,0.745,0.676,1.069,0.836,1.623,1.635,0.486,0.972,3.54,2.207,2.862,1.742,2.623,7.921,4.49,0
6.148,3.639,1.351,5.851,7.974,3.484,1.755,0.652,1.784,3.117,0.895,0.84,1.155,0.768,1.994,1.684,0.416,0.873,3.707,2.337,2.889,1.791,2.677,8.212,4.65,0
8.11,5.298,2.59,5.951,10.408,2.441,2.046,0.78,1.368,3.21,1.213,1.162,1.34,1.24,3.051,2.37,0.446,1.032,5.448,3.065,2.779,1.687,2.508,8.39,4.375,0
8.902,5.757,4.065,7.633,11.345,1.883,2.175,0.963,1.442,3.321,1.397,1.29,1.396,1.908,3.461,2.876,0.575,1.303,6.649,3.604,2.748,1.603,2.37,8.644,4.115,0
10.554,7.114,8.181,16.069,13.104,1.277,2.372,1.389,2.872,3.943,2.109,1.54,1.623,5.158,3.888,3.746,1.066,1.933,8.445,4.576,2.823,1.541,2.157,9.431,3.824,0
13.883,9.659,11,26.181,16.895,1.569,2.651,1.542,5.467,5.577,3.075,1.806,2.024,9.702,4.314,3.779,1.576,2.107,7.997,4.785,2.626,1.526,1.846,8.696,3.537,0
16.104,10.672,11.126,28.494,19.627,1.916,2.783,1.452,6.403,6.422,3.304,1.888,2.122,11.012,4.528,3.381,1.691,1.938,6.91,4.6,2.289,1.461,1.574,7.322,3.214,0
20.15,10.808,8.675,24.76,23.649,2.517,2.563,1.167,6.364,7.166,2.814,1.778,1.828,9.602,4.377,2.151,1.532,1.322,4.102,3.992,1.395,1.237,0.973,3.782,2.389,0
21.886,9.717,6.727,19.611,23.945,2.603,2.144,1.171,5.651,7.165,2.277,1.617,1.512,7.342,3.92,1.583,1.308,1.021,2.85,3.629,1.031,1.118,0.756,2.362,2.051,0
24.079,6.629,3.636,9.217,21.252,2.214,1.114,1.687,4.55,7.172,1.681,1.315,0.998,3.024,3.109,0.976,0.81,0.656,1.286,2.869,0.66,0.919,0.563,1.014,1.613,0
26.998,4.391,1.968,5.803,18.038,1.765,0.709,2.252,5.113,8.081,2.278,1.193,0.886,1.595,3.768,0.959,0.481,0.575,0.801,2.432,0.521,0.768,0.493,0.961,1.209,0
31.462,3.856,1.73,6.636,17.878,1.929,0.844,2.289,5.58,9.325,2.745,1.166,0.932,1.689,4.589,0.989,0.403,0.576,0.75,2.381,0.465,0.697,0.441,1.08,1.008,0
48.544,3.791,2.254,8.107,20.271,3.004,1.413,2.008,5.497,13.516,3.266,1.059,1.164,2.09,5.89,0.913,0.373,0.603,0.789,2.369,0.399,0.57,0.325,1.307,0.794,0
62.094,4.367,2.997,7.235,24.215,3.655,1.805,1.86,4.678,17.125,2.894,0.89,1.433,2.169,5.675,0.831,0.456,0.65,0.954,2.276,0.517,0.572,0.294,1.504,0.94,0
59.202,4.37,2.997,7.567,25.114,3.473,1.802,1.877,5.024,16.941,2.436,0.795,1.465,2.213,4.93,0.858,0.498,0.671,1.193,2.222,0.689,0.658,0.331,1.713,1.153,0
34.806,3.008,2.25,15.595,23.675,2.539,1.457,1.915,9.206,11.729,1.414,0.611,1.172,3.129,2.973,1.006,0.557,0.665,2.372,2.298,1.218,1.001,0.46,2.534,1.803,0
20.361,2.131,1.979,22.581,22.443,2.173,1.212,1.975,12.53,8.11,1.033,0.53,0.911,3.975,2.273,1.063,0.595,0.633,3.184,2.461,1.478,1.212,0.511,3.01,2.146,0
3.922,1.169,2.391,34.117,21.932,2.053,0.814,2.449,17.37,3.352,0.633,0.39,0.548,5.211,2.149,1.041,0.693,0.532,4.223,3.034,1.656,1.476,0.503,3.388,2.504,0
2.062,1.814,3.223,41.339,22.365,2.231,0.75,3.276,17.029,2.588,0.494,0.421,0.572,4.925,2.924,0.863,0.752,0.4,3.997,3.843,1.257,1.318,0.373,2.712,2.203,0
2.211,2.735,3.274,45.891,21.569,2.336,0.962,3.563,15.509,2.937,0.445,0.616,0.629,4.594,3.163,0.751,0.762,0.333,3.752,4.129,0.971,1.118,0.309,2.223,1.89,0
2.397,5.561,2.33,56.846,18.56,2.628,1.964,3.486,12.463,4.552,0.56,1.331,0.624,4.629,3.475,0.582,0.798,0.243,3.645,3.981,0.581,0.733,0.25,1.539,1.358,0
2.937,7.639,1.077,54.581,18.789,2.793,2.97,2.78,10.048,7.528,1.26,1.809,0.628,5.234,4.155,0.551,0.846,0.228,3.464,3.175,0.489,0.563,0.26,1.239,1.227,0
3.316,7.524,0.761,44.749,20.124,2.738,3.095,2.437,8.655,9.019,1.79,1.75,0.737,5.203,4.563,0.586,0.855,0.248,3.054,2.898,0.476,0.541,0.27,1.079,1.27,0
3.743,5.109,0.787,18.585,20.035,2.425,2.57,2.073,5.733,9.837,2.688,1.205,1.103,4.099,4.685,0.692,0.857,0.33,1.938,2.909,0.4,0.519,0.286,0.711,1.316,0
3.722,3.509,0.943,8.976,18.182,2.206,2.168,2.033,4.608,8.846,2.807,0.917,1.231,3.317,4.163,0.726,0.866,0.373,1.539,3.034,0.344,0.511,0.295,0.598,1.251,0
3.731,1.268,1.362,2.629,15.787,1.672,1.711,1.939,3.054,5.703,2.272,0.67,1.142,1.912,2.502,0.683,0.882,0.415,1.208,2.979,0.259,0.53,0.307,0.581,1.05,0
4.651,0.653,1.953,2.699,29.072,1.221,1.619,1.601,1.593,5.066,1.415,0.761,0.792,0.942,1.933,0.533,0.818,0.412,1.058,2.934,0.234,0.614,0.282,0.631,1.113,0
5.274,0.674,2.301,3.019,42.09,1.143,1.532,1.383,0.996,6.225,1.126,0.797,0.697,0.701,2.383,0.464,0.769,0.414,1.003,3.409,0.236,0.682,0.252,0.623,1.299,0
6.186,1.577,2.774,3.608,64.229,1.206,1.226,1.007,0.438,8.937,0.846,0.818,0.817,0.779,3.772,0.399,0.74,0.446,0.909,5.443,0.252,0.85,0.186,0.558,1.744,0
6.475,4.164,2.64,4.067,62.192,1.306,1.314,0.915,0.412,9.216,0.698,1.151,1.124,1.194,4.088,0.425,0.866,0.48,0.764,7.316,0.252,0.964,0.16,0.528,1.874,0
6.726,5.763,2.467,4.167,53.463,1.46,1.678,0.99,0.452,8.568,0.637,1.472,1.227,1.415,3.695,0.457,0.946,0.487,0.701,7.57,0.248,0.958,0.166,0.535,1.767,0
8.19,8.133,2.46,4.021,36.847,2.217,2.572,1.278,0.541,7.273,0.643,1.984,1.236,1.774,2.628,0.531,1.014,0.505,0.728,6.44,0.26,0.815,0.198,0.543,1.422,0
9.3,8.555,2.791,3.733,33.4,2.684,2.756,1.457,0.612,7.159,0.964,1.954,1.188,1.859,2.49,0.595,0.979,0.528,0.828,5.363,0.294,0.715,0.216,0.553,1.323,0
11.32,7.781,3.823,3.205,29.887,3.419,2.279,1.814,0.975,9.14,3.139,1.285,1.121,1.74,4.742,0.846,0.816,0.589,1.046,3.367,0.421,0.588,0.255,0.692,1.576,0
11.73,5.918,4.559,3.131,19.991,4.413,1.442,1.966,1.467,14.433,6.573,0.566,1.048,1.292,10.554,1.208,0.65,0.59,1.037,2.528,0.545,0.576,0.288,0.962,2.411,0
11.249,4.839,4.62,3.218,13.95,5.023,1.208,1.861,1.597,17.185,7.728,0.433,0.961,1.029,13.559,1.343,0.585,0.554,0.918,2.63,0.577,0.58,0.3,1.055,2.826,0
15.905,4.893,6.047,9.298,16.243,2.091,1.437,6.099,3.27,3.025,2.158,0.948,3.634,2.522,2.733,2.525,1.182,3.294,1.844,3.102,1.854,1.002,1.386,1.527,1.874,0
16.816,3.701,7.637,5.504,13.677,2.055,1.427,5.789,3.551,2.372,1.99,0.812,3.244,2.398,2.341,2.499,1.025,3.278,1.922,3.323,2.14,1.001,1.583,1.678,2.137,0
17.077,3.254,10.979,1.716,12.016,2.92,1.607,5.45,3.712,2.301,1.805,0.892,2.442,2.848,1.996,2.866,0.85,3.416,2.186,3.781,2.921,1.121,2.061,2.5,2.85,0
16.062,3.855,12.039,1.488,12.783,3.699,1.755,5.906,3.551,2.815,1.684,0.941,2.468,3.276,1.958,3.053,0.86,3.406,2.304,3.835,3.112,1.179,2.231,3.018,3.04,0
13.641,5.421,11.936,2.081,15.659,5.165,2.101,8.311,3.598,4.487,1.338,1.014,3.72,4.279,1.894,3.105,1.079,3.069,2.527,3.478,2.855,1.205,2.242,3.929,2.916,0
13.014,5.465,9.255,2.878,16.835,5.346,2.376,10.988,4.424,6.058,1.25,1.105,4.924,4.634,1.938,2.939,1.308,2.731,2.632,2.954,2.417,1.144,1.95,4.308,2.63,0
12.947,4.666,7.999,3.708,16.397,4.849,2.431,11.481,4.734,6.435,1.398,1.141,4.961,4.305,2.041,2.856,1.309,2.69,2.558,2.741,2.34,1.085,1.812,4.156,2.548,0
10.891,2.857,8.183,7.038,13.903,3.175,2.221,10.428,4.373,5.946,1.859,1.102,3.961,2.969,2.224,2.512,1.029,2.59,2.203,2.229,2.247,0.889,1.634,3.173,2.312,0
9.33,2.309,9.992,9.108,12.211,2.466,1.92,9.497,3.762,5.264,2.033,1.029,3.359,2.258,2.173,2.182,0.826,2.451,1.992,1.883,2.08,0.767,1.552,2.512,2.076,0
6.774,1.997,16.494,11.058,8.981,2.634,1.119,8.899,2.521,4.437,2.177,0.951,2.779,1.262,1.755,1.378,0.597,2.185,1.636,1.195,1.526,0.579,1.326,1.458,1.475,1
5.754,1.977,24.046,8.55,6.773,4.724,0.517,9.824,2.014,5.26,2.172,1.058,2.535,0.845,1.405,0.829,0.817,2.146,1.371,0.838,1.052,0.515,1.046,1.058,0.977,1
5.993,2.077,26.919,6.916,6.306,5.709,0.453,9.914,2.059,5.8,2.119,1.098,2.283,0.823,1.401,0.718,1.019,2.182,1.245,0.835,0.944,0.51,0.925,1.018,0.835,1
6.957,2.369,29.198,5.77,6.566,6.003,0.853,8.738,2.367,5.729,1.817,0.979,1.791,1.204,1.583,0.739,1.319,2.57,1.037,1.025,0.929,0.52,0.882,1.144,0.764,1
6.771,2.543,25.473,6.679,7.277,4.026,1.592,7.01,2.211,3.985,1.586,0.847,1.688,1.826,2.031,1.026,1.369,3.976,1.21,1.266,0.998,0.656,1.312,1.589,0.867,1
6.181,2.734,21.611,6.931,7.73,2.815,1.901,6.483,1.847,2.91,1.802,0.922,1.69,2.087,2.646,1.277,1.352,4.899,1.534,1.487,1.039,0.797,1.689,1.883,0.973,1
4.625,3.873,13.19,6.157,9.067,1.34,2.25,6.47,1.072,1.656,2.936,1.225,1.556,2.4,4.653,1.838,1.324,5.983,2.392,2.288,1.143,1.096,2.436,2.345,1.286,1
3.604,4.859,9.303,5.105,11.111,1.371,2.484,7.234,1.236,2.567,3.861,1.23,1.41,2.405,6.007,1.969,1.185,5.184,2.728,2.977,1.215,1.145,2.628,2.395,1.578,0
3.693,4.767,9.325,5.439,12.285,1.768,2.636,7.772,1.912,4.033,3.814,1.079,1.533,2.279,5.808,1.785,1.042,4.342,2.522,2.952,1.211,1.044,2.448,2.297,1.654,0
5.757,4.454,11.702,8.196,14.618,2.962,2.785,8.707,4.02,8.411,2.855,0.792,2.535,1.818,3.948,1.263,0.726,2.884,1.675,2.137,1.155,0.759,1.815,2.146,1.685,0
7.179,4.488,13.182,9.702,15.568,3.477,2.67,8.898,4.935,10.375,2.305,0.762,3.337,1.539,2.891,1.088,0.612,2.49,1.282,1.594,1.145,0.651,1.534,2.182,1.687,0
8.546,4.649,14.17,10.697,16.174,3.555,2.064,8.251,5.164,10.973,1.868,0.813,4.911,1.156,1.889,0.986,0.466,2.137,0.868,0.912,1.195,0.544,1.281,2.409,1.701,0
6.95,4.532,10.355,10.996,16.216,2.364,1.388,6.181,3.339,7.893,2.326,0.738,5.949,1.249,2.696,0.885,0.38,2.031,0.758,0.98,1.235,0.526,1.377,2.558,1.678,0
5.731,5.794,7.586,11.95,16.471,1.724,1.235,4.903,2.297,6.583,2.631,0.71,6.223,1.425,3.469,0.826,0.398,2.046,0.827,1.228,1.241,0.554,1.462,2.597,1.681,0
3.998,12.268,4.085,14.714,16.989,1.363,1.66,2.868,1.047,6.214,2.829,0.852,6.348,1.698,4.457,0.975,0.583,2.234,1.379,1.986,1.282,0.687,1.512,2.753,1.829,0
4.058,18.291,5.141,14.621,14.209,2.172,3.493,2.711,0.698,6.508,2.36,1.357,5.691,1.53,3.63,1.509,0.871,2.554,2.177,2.666,1.32,0.82,1.348,2.99,2.074,0
4.557,26.321,7.055,13.077,11.412,2.683,8.451,3.533,0.616,6.072,2.093,3.078,5.066,1.308,2.927,1.773,1.698,2.709,2.387,2.805,1.314,0.947,1.248,3.08,2.167,0
6.462,89.699,13.23,10.471,5.697,3.61,43.648,6.011,0.679,5.031,1.964,17.435,3.604,0.922,2.547,1.949,8.509,2.842,2.098,2.565,1.291,1.999,1.178,3.126,2.26,0
7.461,147.75,16.882,10.522,4.165,4.008,73.269,6.946,0.857,4.938,2.063,30.349,3.011,0.906,2.919,1.836,14.545,2.844,1.722,2.285,1.307,3.024,1.22,3.119,2.285,0
8.332,251.777,22.861,12.943,3.983,4.444,122.301,7.138,1.216,4.998,2.124,53.277,2.891,1.373,3.513,1.462,25.022,3.005,1.147,1.78,1.401,5.049,1.339,3.15,2.285,0
6.416,238.1,22.932,12.828,5.932,4.26,110.572,6.331,1.545,3.93,1.992,50.187,4.244,2.07,2.927,1.336,23.266,3.499,1.21,1.691,1.502,5.076,1.366,3.195,2.152,0
5.129,185.92,20.385,11.179,7.307,4.26,83.225,6.444,2.163,3.179,1.997,38.514,5.012,2.21,2.544,1.459,17.835,3.748,1.456,1.918,1.539,4.204,1.349,3.175,2.056,0
3.597,73.85,14.637,7.302,9.607,4.931,28.559,7.572,4.617,2.527,2.22,13.986,5.464,1.791,2.749,1.929,6.698,3.805,2.216,2.835,1.581,2.09,1.287,3.028,1.899,0
4.066,45.396,11.834,5.773,10.347,5.54,16.798,7.338,6.566,3.511,2.394,10.079,3.968,0.995,3.903,2.195,4.503,3.109,2.934,3.572,1.494,1.099,1.171,2.838,1.741,0
4.667,59.64,12.558,6.651,11.73,5.283,23.127,6.272,6.546,4.436,2.363,14.047,2.979,0.795,4.337,2.112,6.07,2.66,3.066,3.554,1.385,0.996,1.115,2.784,1.621,0
5.818,87.309,15.201,10.459,18.14,3.951,32.523,3.932,5.753,6.476,2.237,19.118,1.826,0.986,4.518,1.638,8.466,2.02,2.74,2.85,1.157,0.849,1.117,2.828,1.345,0
6.14,85.938,16.294,12.299,21.379,3.472,31.327,3.511,5.955,7.193,2.293,18.165,1.733,1.294,4.321,1.441,8.202,1.852,2.422,2.53,1.098,0.737,1.182,2.88,1.245,0
6.53,54.569,16.529,13.86,22.936,3.57,18.757,4.649,7.841,7.523,2.684,11.008,1.905,2.12,3.667,1.541,5.136,1.689,2.007,2.821,1.139,0.53,1.32,2.963,1.257,0
7.556,18.341,14.137,12.269,16.775,4.05,5.525,6.259,8.435,6.812,2.987,4.302,2.044,2.951,3.038,2.031,2.001,1.597,2.061,3.867,1.258,0.493,1.299,3.028,1.474,0
8.31,9.028,12.332,10.976,12.835,4.044,2.453,6.495,7.51,6.308,3.01,2.824,2.037,3.355,2.824,2.202,1.314,1.578,2.173,4.141,1.298,0.56,1.246,3.056,1.58,0
8.72,4.52,10.055,9.329,7.735,3.594,1.8,5.576,4.921,5.248,3.01,2.326,1.899,4.074,2.707,2.319,1.252,1.7,2.511,3.763,1.343,0.815,1.227,3.082,1.741,0
6.983,3.976,11.441,9.243,6,2.977,2.934,3.962,3.927,3.852,3.196,2.731,1.821,4.455,3.01,2.341,1.381,1.919,2.928,2.805,1.405,1.083,1.443,3.275,1.935,0
5.89,3.649,14.068,9.646,5.46,2.707,3.368,3.501,4.098,3.125,3.29,3.122,1.89,4.418,3.223,2.371,1.337,1.931,3.039,2.472,1.478,1.175,1.61,3.597,2.093,0
4.888,3.105,28.305,10.574,4.958,2.382,3.42,4.998,4.498,2.319,3.245,3.924,2.338,3.779,3.417,2.358,1.089,1.765,2.801,2.343,1.797,1.257,1.948,4.806,2.54,0
4.86,2.911,39,10.474,4.5,2.309,3.093,7.219,4.397,2.286,3.039,4.111,2.706,3.274,3.33,2.257,0.958,1.712,2.479,2.418,2.038,1.254,2.075,5.526,2.773,0
4.807,2.723,57.661,8.101,3.004,2.207,2.255,12.498,3.531,2.276,2.329,3.667,3.473,2.32,2.868,1.892,0.82,1.919,1.92,2.437,2.49,1.189,2.201,6.593,3.115,1
4,2.567,55.05,4.953,1.61,1.994,1.503,13.956,2.225,1.818,1.621,2.421,3.536,2.041,2.526,1.529,0.823,2.341,2.198,2.159,2.639,1.102,2.229,6.949,3.292,1
3.469,2.371,44.642,3.832,1.391,1.864,1.164,12.449,1.763,1.595,1.445,1.82,3.157,2.321,2.574,1.395,0.829,2.444,2.681,1.965,2.64,1.097,2.25,7.02,3.415,1
3.898,1.892,19.301,3.107,7.214,1.696,0.59,7.561,1.717,4.456,1.623,1.058,2.162,3.294,4.335,1.234,0.81,2.353,3.696,2.044,2.791,1.185,2.314,7.223,4.023,1
4.675,1.581,10.343,3.372,17.513,1.691,0.432,5.59,2.036,10.18,1.93,0.886,1.831,3.57,7.023,1.165,0.792,2.226,3.874,2.774,2.948,1.233,2.305,7.243,4.543,1
5.459,1.636,5.269,4.166,51.317,1.72,0.936,3.865,2.627,29.359,2.523,0.906,1.846,3.172,15.255,1.037,0.886,2.013,3.384,5.593,3.106,1.233,2.159,6.837,5.595,1
4.192,12.352,6.399,4.316,73.764,1.671,5.315,3.566,2.587,42.156,2.479,2.672,2.565,2.267,19.96,1.13,2.408,1.937,2.7,7.78,2.796,1.323,2.028,6.229,5.842,1
3.509,24.751,7.285,4.057,70.74,1.786,9.521,3.51,2.393,40.451,2.294,4.643,2.997,2.125,18.783,1.36,4.064,2.026,2.815,7.873,2.587,1.544,2.071,6.126,5.593,1
4.644,53.984,8.265,3.971,40.767,2.514,18.841,3.333,2.345,24.306,2.152,9.621,3.582,3.006,11.276,2.073,7.685,2.465,4.263,6.462,2.427,2.242,2.426,6.383,4.84,1
6.509,62.287,7.833,4.431,24.454,2.988,21.832,3.193,2.719,15.311,2.253,11.555,3.617,3.83,7.308,2.431,8.534,2.715,5.283,5.627,2.496,2.519,2.67,6.619,4.556,1
10.013,53.596,6.881,5.982,6.782,3.775,21.396,2.886,3.814,5.785,2.481,12.084,3.424,5.03,3.014,2.844,6.94,2.956,6.631,4.656,2.759,2.557,3.048,7.232,4.374,1
10.742,26.79,6.82,7.033,6.113,4.067,15.556,2.568,4.038,5.326,2.298,9.242,3.414,4.962,2.452,2.741,3.208,2.69,6.236,3.973,3.074,2.173,3.144,7.993,4.474,1
10.262,17.025,7.522,7.104,7.064,4.014,12.732,2.439,3.688,5.83,2.07,7.967,3.446,4.788,2.585,2.573,1.894,2.454,5.602,3.539,3.236,2.046,3.125,8.222,4.527,1
8.554,11.986,9.289,7.091,7.998,3.393,9.878,2.392,2.724,6.377,1.649,7.248,3.074,5.15,3.261,2.2,1.23,1.97,4.31,2.817,3.39,2.062,3.042,7.771,4.536,0
6.691,15.517,9.796,8.873,8.853,2.234,10.603,2.766,2.14,5.261,1.384,7.846,2.318,6.506,3.793,1.895,1.839,1.619,3.379,2.269,3.156,2.128,2.952,6.45,4.27,0
5.772,17.398,9.014,10.123,9.23,1.704,11.568,3.074,1.979,4.296,1.328,8.012,2.271,7.373,3.69,1.799,2.215,1.545,3.045,2.025,2.974,2.08,2.888,5.951,4.06,0
4.234,21.639,6.031,10.947,11.371,1.229,12.521,3.697,1.56,2.911,1.565,8.029,3.405,9.244,2.723,1.835,2.77,1.598,2.793,1.77,2.813,1.865,2.714,5.942,3.804,0
4.275,24.199,4.54,10.447,13.123,1.215,11.864,4.017,1.385,2.809,1.868,8.036,4.328,10.189,2.144,1.968,2.858,1.654,2.978,1.846,2.855,1.749,2.617,6.271,3.814,0
6.433,27.673,3.481,9.649,17.184,1.219,8.722,4.725,1.463,3.308,2.549,7.892,5.562,11.368,1.702,2.232,2.664,1.674,3.755,2.369,2.937,1.577,2.46,6.839,3.916,0
8.449,23.36,4.022,9.764,18.052,1.193,5.339,5.205,1.945,3.441,3.012,6.517,5.164,10.546,2.349,2.148,2.199,1.563,4.193,2.873,2.871,1.489,2.507,7.353,4.016,0
8.314,18.281,4.227,9.365,16.185,1.321,4.114,5.288,2.275,3.295,3.1,5.43,4.711,9.396,2.697,1.988,1.921,1.482,4.089,2.949,2.855,1.472,2.614,7.766,4.138,1
6.114,8.518,4.164,6.822,13.447,1.889,2.602,4.928,2.901,3.597,2.961,3.511,4.379,6.594,2.936,1.714,1.33,1.347,3.427,2.843,2.965,1.571,2.811,8.675,4.697,1
4.332,5.585,3.788,3.875,25.61,2.318,1.986,3.851,3.175,5.328,2.361,2.62,4.616,4.897,3.553,1.694,0.989,1.215,2.794,3.008,3.022,1.849,2.744,8.709,5.37,1
4.22,6.609,3.513,3.258,36.591,2.403,1.935,3.173,3.259,6.517,1.946,2.451,4.561,4.794,4.261,1.727,0.981,1.123,2.588,3.217,2.914,1.965,2.62,8.245,5.476,1
4.475,9.634,2.898,4.182,51.152,2.553,2.078,1.95,3.68,8.17,1.374,2.284,3.992,5.353,5.629,1.77,1.183,1.006,2.722,3.55,2.448,1.919,2.289,6.879,4.915,1
3.989,9.814,2.53,6.099,42.716,2.675,2.011,1.595,4.188,7.604,1.373,2.069,3.601,4.791,5.27,1.901,1.287,1.179,3.911,3.593,2.033,1.524,1.915,5.771,3.768,1
3.681,8.579,2.709,6.511,32.267,2.652,1.822,1.905,4.263,6.618,1.489,1.912,3.603,3.842,4.364,2.005,1.251,1.354,4.691,3.549,1.969,1.309,1.732,5.434,3.291,1
4.126,5.599,3.758,6.071,13.618,2.385,1.411,3.011,4.063,4.17,1.728,1.71,3.459,2.15,2.705,2.13,1.156,1.59,5.581,3.352,2.081,1.061,1.498,5.155,2.932,1
4.933,4.831,4.232,5.623,9.635,2.178,1.27,3.451,3.934,3.122,1.763,1.764,3.12,2.007,2.713,2.094,1.165,1.555,5.479,3.183,2.169,1.041,1.491,5.188,3.034,1
6.301,5.212,4.281,4.905,11.757,1.799,1.031,3.392,3.71,2.231,1.668,2.143,2.227,3.005,4.873,1.868,1.271,1.309,4.826,2.754,2.239,1.097,1.634,5.482,3.45,1
5.843,8.099,3.847,4.522,17.177,1.433,1.119,2.388,3.243,2.909,1.535,2.708,1.882,4.138,7.793,1.628,1.388,1.328,4.807,2.43,2.206,1.217,1.856,5.831,3.72,1
5.062,10.373,3.955,4.913,18.281,1.243,1.98,1.916,2.943,3.491,1.482,3.167,1.946,4.32,8.438,1.577,1.525,1.548,5.138,2.411,2.19,1.313,1.986,5.916,3.708,0
3.475,14.842,4.65,6.889,15.484,0.904,5.981,1.489,2.651,3.979,1.391,4.556,2.012,3.719,7.072,1.654,2.052,2.136,5.815,2.671,2.196,1.548,2.248,5.841,3.463,0
3.077,16.592,4.864,7.951,12.757,0.788,8.25,1.528,2.832,3.668,1.365,5.237,1.898,3.144,5.599,1.727,2.338,2.316,5.917,2.851,2.216,1.645,2.335,5.731,3.319,0
2.986,19.171,4.231,8.239,9.279,0.783,11.137,2.047,3.758,2.474,1.973,5.72,1.937,2.881,4.226,1.932,2.662,2.24,5.826,3.128,2.303,1.768,2.372,5.606,3.188,0
3.127,20.943,3.079,5.695,10.725,1.156,11.924,3.255,4.44,1.622,4.679,4.935,3.214,5.215,7.532,2.796,2.919,2.089,6.627,3.716,2.512,1.911,2.379,5.74,3.333,0
3.485,20.995,3.197,4.728,13.286,1.436,11.962,3.957,4.314,1.537,6.486,4.331,4.123,6.867,10.025,3.541,3.105,2.145,7.466,4.209,2.598,1.981,2.381,5.702,3.399,0
5.226,17.382,5.498,5.664,22.276,1.944,11.023,4.679,2.963,2.085,8.573,3.232,5.143,8.542,12.461,4.829,3.245,2.228,8.414,4.953,2.491,1.944,2.191,4.867,3.261,0
7.204,9.898,8.744,9.408,36.096,2.093,7.741,4.009,1.418,3.672,6.951,2.52,4.228,6.821,9.769,4.691,2.527,1.778,6.616,4.623,1.937,1.612,1.638,3.156,2.724,0
7.59,6.744,9.661,10.929,42.367,2.017,5.587,3.447,1.035,4.774,5.3,2.27,3.334,5.274,7.631,4.089,1.921,1.404,4.941,4.143,1.585,1.409,1.309,2.29,2.368,0
7.127,4.016,8.919,11.635,50.595,1.912,2.469,2.853,0.989,7.176,2.604,1.866,1.818,2.66,4.657,2.669,0.937,0.853,2.041,3.309,0.975,1.072,0.799,1.117,1.682,0
6.96,5.855,7.568,11.328,52.683,2.023,2.188,3.016,1.221,8.477,1.972,1.858,1.45,1.909,4.009,2.122,0.775,0.75,1.309,3.06,0.773,0.961,0.65,0.901,1.427,0
8.889,23.145,4.471,11.674,53.839,2.52,6.026,3.844,2.25,10.717,1.461,3.532,1.382,1.53,3.362,1.453,1.258,0.749,1.256,2.652,0.629,0.946,0.5,1.323,1.224,0
15.02,56.221,3.495,18.262,49.025,2.797,13.984,4.057,3.672,10.706,1.107,7.771,1.671,2.83,3.179,1.276,2.372,0.859,2.589,2.235,0.909,1.275,0.546,2.864,1.494,0
18.092,68.393,3.771,22.584,42.657,2.717,17.198,3.729,4.309,9.586,1.049,9.737,1.769,3.897,3.342,1.341,2.828,0.966,3.517,2.052,1.186,1.481,0.673,3.918,1.771,0
19.804,65.24,5.121,27.641,25.168,2.613,17.39,2.755,5.269,6.703,1.328,10.406,1.805,5.302,3.59,1.702,2.899,1.284,4.802,1.692,1.681,1.618,1.066,5.83,2.327,0
18.114,50.718,5.444,26.687,17.816,2.759,14.549,2.462,5.5,5.739,1.537,8.924,1.775,5.12,3.36,2.001,2.516,1.43,4.841,1.556,1.769,1.49,1.251,6.373,2.486,0
11.684,20.8,5.104,18.646,9.513,3.274,8.149,2.616,5.272,4.696,1.625,5.091,1.76,3.382,2.167,2.698,1.617,1.575,3.98,1.544,1.567,1.088,1.421,6.416,2.418,0
6.201,16.825,4.446,9.572,7.954,3.255,6.25,3.23,4.454,3.643,1.237,4.435,1.883,1.848,0.948,2.955,1.69,1.684,2.994,1.692,1.204,1.044,1.342,5.666,2.012,0
4.828,23.245,4.123,6.831,8.566,2.882,6.867,3.323,3.978,2.916,1.081,5.318,1.959,1.588,0.701,2.756,2.075,1.777,2.705,1.708,1.086,1.189,1.275,5.29,1.808,0
4.65,33.876,4.714,4.665,13.658,1.842,7.887,3.408,3.143,2.316,1.121,6.7,1.948,1.564,1.841,2.019,2.636,1.951,2.383,1.734,1.064,1.447,1.171,4.973,1.634,0
