Theta_AF3,Theta_T7,Theta_PZ,Theta_T8,Theta_AF4,Alpha_AF3,Alpha_T7,Alpha_PZ,Alpha_T8,Alpha_AF4,BetaL_AF3,BetaL_T7,BetaL_PZ,BetaL_T8,BetaL_AF4,BetaH_AF3,BetaH_T7,BetaH_PZ,BetaH_T8,BetaH_AF4,Gamma_AF3,Gamma_T7,Gamma_PZ,Gamma_T8,Gamma_AF4,Command
22.173,2.455,1.665,2.173,7.421,9.159,1.798,1.995,3.728,3.919,5.545,0.544,0.972,1.421,1.423,3.049,0.897,0.98,0.83,0.646,1.163,0.884,0.764,1.525,0.652,1
23.659,2.556,2.026,2.224,7.867,9.721,1.975,2.757,3.95,4.042,5.641,0.622,0.946,1.599,1.498,2.841,0.845,0.931,0.933,0.646,1.064,0.861,0.736,1.479,0.582,1
19.399,2.213,2.717,3.076,7.652,9.264,2.055,4.451,3.617,5.539,4.774,0.65,0.784,1.764,1.716,1.884,0.716,0.769,1.235,0.758,0.827,0.785,0.65,1.105,0.597,1
11.262,2.018,3.091,3.311,6.078,7.258,2.076,5.358,2.903,6.865,3.401,0.509,0.586,1.403,1.724,1.111,0.784,0.668,1.482,0.856,0.645,0.757,0.519,0.699,0.728,1
8.275,2.362,3.197,3.036,5.334,6.142,2.435,5.222,2.664,6.773,2.713,0.5,0.507,1.162,1.617,0.983,0.896,0.66,1.494,0.878,0.605,0.764,0.459,0.606,0.806,1
5.237,3.546,3.442,2.176,4.342,4.423,3.758,3.958,2.423,5.293,1.495,0.683,0.422,0.979,1.427,0.941,1.05,0.738,1.226,0.99,0.634,0.764,0.458,0.652,0.953,1
4.168,3.837,3.658,1.642,3.818,3.272,4.462,2.662,2.224,3.759,0.788,0.868,0.534,1.128,1.676,0.787,0.933,0.931,0.795,1.198,0.746,0.698,0.604,0.752,1.048,1
3.876,3.381,3.546,1.598,3.877,2.881,4.264,2.411,2.091,3.385,0.766,0.964,0.676,1.159,1.944,0.687,0.817,1.038,0.663,1.274,0.795,0.653,0.666,0.749,1.049,1
4.012,2.011,2.669,1.82,4.503,2.506,3.368,2.499,1.801,3.194,1.238,1.267,0.981,1.041,2.353,0.582,0.665,1.13,0.702,1.282,0.801,0.594,0.649,0.687,0.938,1
4.933,1.265,1.757,2.009,4.796,2.431,2.824,2.646,1.727,2.834,1.875,1.467,1.27,0.988,2.163,0.662,0.682,0.947,0.958,1.156,0.689,0.588,0.487,0.717,0.748,1
5.632,1.185,1.741,1.967,4.65,2.342,2.685,2.79,1.915,2.476,2.036,1.393,1.574,1.134,1.839,0.726,0.708,0.787,1.073,1.093,0.631,0.579,0.415,0.779,0.665,1
6.611,1.135,2.55,1.699,3.928,1.954,2.213,3.72,2.771,1.898,1.838,1.142,2.648,1.889,1.269,0.818,0.713,0.507,1.15,1.086,0.607,0.522,0.385,0.879,0.601,1
5.546,1.053,3.365,1.509,3.262,1.801,1.638,5.088,3.68,2.203,1.515,1.282,3.374,2.709,1.481,0.939,0.648,0.41,0.999,1.239,0.677,0.514,0.464,0.852,0.655,1
4.494,1.07,3.554,1.478,3.035,1.895,1.452,5.44,3.879,2.548,1.505,1.45,3.227,2.834,1.8,1.036,0.607,0.414,0.879,1.31,0.695,0.55,0.517,0.808,0.689,1
2.638,1.3,3.623,1.275,2.762,2.201,1.271,4.952,3.704,3.002,1.665,1.54,2.173,2.362,2.265,1.214,0.564,0.468,0.632,1.245,0.618,0.62,0.613,0.729,0.706,1
